p.index	average	peak	mymodel2$cluster	cluster
1	0.687964104	3.925	15.23	5
2	0.604759142	2.227	17.08	1
3	0.396182568	0.851759221	9.23	3
4	0.300798581	1.02	11.21	3
5	0.228085517	1.228	12.77	4
6	0.593244244	1.943	10.56	1
7	0.655446058	1.674	11.36	2
8	0.381552716	0.966770492	9.402	3
9	0.612299194	1.977	12.18	1
10	0.409800156	2.194	16.2	1
11	0.507852094	0.866481557	8.87	3
12	0.436924382	1.153	13.04	3
13	0.348379551	1.358	10.36	3
14	0.174307168	1.019	9.11	4
15	0.47347159	2.268	13.58	1
16	0.489844241	2.242	12.08	1
17	0.596988921	1.424	11.45	2
18	0.373378243	0.829990209	8.9	3
19	0.184717458	0.747348361	13.53	4
20	0.242490108	0.807540984	7.19	4
21	0.282183626	1.05	9.86	4
22	0.02251391	0.572892304	9.56	4
23	0.468943015	0.967298156	10.03	3
24	-0.329850101	0.73307434	6.88	4
25	0.118243159	0.927338684	11.38	4
26	0.361864141	2.407	15.9	1
27	0.351595215	1.687	13.98	3
28	0.319257795	1.652	13.39	3
29	0.611681571	2.614	12.97	1
30	0.536740008	0.963766735	10.26	2
31	0.169444527	0.361014828	3.32	4
32	0.316778522	0.965453438	9.6	3
33	0.283173845	1.36	10.35	3
34	0.458895483	1.963	13.38	1
35	0.637628453	1.43	9.96	2
36	0.460962279	1.506	11.96	3
37	0.45270903	2.252	14.61	1
38	0.382869058	0.658004212	9.09	3
39	0.489027536	1.089	16.051	3
40	0.52989718	1.839	14.89	1
41	0.482597595	1.402	9.631	3
42	0.209684273	0.835622951	9.31	4
43	0.555140194	0.778804645	4.58	2
44	0.110332497	0.329791325	7.67	4
45	0.299369995	1.754	14.02	3
46	0.272618298	1.061	9.43	4
47	0.512740472	0.968637864	7.34	3
48	0.431010546	1.026	11.33	3
49	0.213044784	0.466217896	8.58	4
50	0.584552285	0.947870674	11.73	2
51	0.50665391	2.061	13.95	1
52	0.264044839	1.058	11.99	4
53	0.374447366	1.249	8.73	3
54	0.50071748	1.677	16.43	1
55	0.381004379	1.502	10.59	3
56	0.614401029	2.754	14.8	5
57	0.524545437	3.12	16.28	5
58	0.679267469	1.33	7.33	2
59	0.63146895	5.278	27.31	5
60	0.196427694	0.687920993	7.13	4
61	0.56060136	1.51	13.64	2
